"File","Line","Code"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\customer\invoice\index.vue","805","font-family: PingFang SC-中黑体, PingFang SC;"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\customer\invoice\index.vue","814","font-family: PingFang SC-常规体, PingFang SC;"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\customer\invoice\index.vue","845","font-family: PingFang SC-常规体, PingFang SC;"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\customer\invoice\index.vue","859","font-family: PingFang SC-常规体, PingFang SC;"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\customer\setup\work.vue","57","<div v-if=""tabName == '发票类目'"" class=""v-height-flag"">"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\chart\index.vue","170","return this.$i18n && this.$i18n.locale === 'en' ? ' CNY' : '元'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\chart\index.vue","583","name: this.ts('支出'),"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\list\index.vue","216","'示例',"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\list\index.vue","256","if (/^示例[:：]/.test(rawType)) {"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\list\index.vue","260","if (!types || types.includes('账目类型')) {"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\list\index.vue","264","if (!['收入', '支出'].includes(types)) {"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\list\index.vue","352","this.saveName = '导出账目模板.xlsx'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\enterprise\list\index.vue","375","this.saveName = '导出账目_' + this.$moment(new Date()).format('MM_DD_HH_mm_ss') + '.xlsx'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\examine\index.vue","309","this.saveName = '导出付款审核_' + this.$moment(new Date()).format('MM_DD_HH_mm_ss') + '.xlsx'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\examine\index.vue","400","let str = '审核通过'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\examine\index.vue","402","str = '编辑账目记录'"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\views\gyro-craftsman-web-own-v2.4\src\views\fd\invoice\index.vue","263",":rules=""[{ required: true, message: '请填写作废原因', trigger: 'blur' }]"""
