"Count","File"
"746","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\api_menu_parents.php"
"361","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Chat\ChatHistoryService.php"
"187","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\System\ConfigEnum.php"
"133","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Assess\UserAssessService.php"
"123","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Crud\SystemCrudService.php"
"110","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\seeders\v1.8\DataUpdateHandler.php"
"91","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Config\SystemConfigService.php"
"78","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Assess\AssessService.php"
"66","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\ModuleController.php"
"64","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Admin\AdminService.php"
"63","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\InvoiceLogService.php"
"63","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\Install.php"
"61","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Attendance\AttendanceClockService.php"
"60","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Program\ProgramTaskService.php"
"59","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Crud\CrudModuleService.php"
"54","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Open\OpenapiRuleService.php"
"53","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Crud\SystemCrudEventService.php"
"49","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Schedule\ScheduleService.php"
"49","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\CustomerService.php"
"45","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\User\UserScheduleService.php"
"45","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\UpgradeCommand.php"
"44","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_enterprise_user_card_table.php"
"43","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Approve\ApproveApplyService.php"
"41","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Config\CompanyConfigService.php"
"41","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\LabelService.php"
"41","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\CustomEnum\CustomerEnum.php"
"40","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\PaymentService.php"
"38","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\enterprise\attendance\AttendanceGroupRequest.php"
"38","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.7\2024_05_13_121935_create_admin_info_table.php"
"38","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\user\UserRequest.php"
"38","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Requests\user\UserResumeRequest.php"
"37","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Assess\AssessPlanService.php"
"37","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Finance\BillService.php"
"36","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_user_table.php"
"35","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\System\MenusService.php"
"35","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_user_resume_table.php"
"34","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\OrderService.php"
"34","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\CustomerTrait.php"
"33","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php"
"33","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_enterprise_table.php"
"33","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_client_invoice_table.php"
"32","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Cloud\CloudFileService.php"
"32","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Config\FormService.php"
"29","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Crud\SystemCrudFieldService.php"
"28","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\CustomEnum\ClueEnum.php"
"28","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\mcp.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v2.3\2025_12_16_172636_create_contract_doc_table.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Cloud\CloudFileController.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\CrudEventController.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\CrudFieldController.php"
"27","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\CommonController.php"
"26","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\CustomEnum\OddsEnum.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\System\RolesService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\UniApi\Module\ModuleController.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_user_assess_table.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.5\2024_02_19_165149_create_system_crud_approve_process_table.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Module\CrudController.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_assess_table.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Chat\ChatApplicationsService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\InvoiceService.php"
"25","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Service\Customer\FollowUpService.php"
