"Count","Code","ExampleFile","ExampleLine"
"144","'menu_name' => '我的日程',","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\api_menu_parents.php","20"
"117","$table->bigIncrements('id')->comment('自增id');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_approve_apply_table.php","17"
"76","return $this->fail('缺少参数');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Assess\PlanController.php","66"
"52","'menu_name' => '组织架构',","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\api_menu_parents.php","148"
"42","'menu_name' => '企业空间',","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\api_menu_parents.php","128"
"40","return $this->success('删除成功');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Attach\AttachController.php","88"
"36","return $this->success('修改成功');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Chat\ChatHistoryController.php","130"
"30","return $this->success('保存成功');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Assess\AssessController.php","134"
"27","return $this->success('操作成功');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Controller\AdminApi\Approve\ApproveApplyController.php","207"
"25","$table->integer('sort')->default(0)->comment('排序');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_bill_category_table.php","23"
"25","'menu_name' => '工资结构',","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\api_menu_parents.php","228"
"21","$table->increments('id')->comment('自增ID');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.1\2023_06_05_104220_create_agreement_table.php","17"
"21","'menu_name' => '工作台',","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\config\api_menu_parents.php","464"
"20","$table->unsignedInteger('sort')->default(0)->comment('排序');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Http\Dao\Customer\ProductCategoryDao.php","64"
"20","$table->unsignedInteger('user_id')->default(0)->comment('用户id')->after('id');","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\database\migrations\v1.7\2024_06_13_171432_update_apprve_table.php","17"
"19","'parameter'  => ['关闭', '开启'],","C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Constants\System\ConfigEnum.php","340"
