"File","Line","Code"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","26","{--source=source : 源数据库连接名}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","27","{--target=target : 目标数据库连接名}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","28","{--exclude= : 要排除的表，用逗号分隔}';"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","35","protected $description = '对比两个数据库中所有表的结构并生成迁移文件';"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","88","$this->info('开始对比 ' . count($tablesToProcess) . ' 个表...');"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","100","$this->line(""\n表 {$table} 在两个数据库中都不存在，已跳过"");"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","125","$this->error(""\n处理表 {$table} 时出错: {$e->getMessage()}"");"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","131","$this->info(""\n表结构对比完成！"");"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","390","$this->line(""\n已生成创建表迁移: {$migrationName}"");"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","411","$this->line(""\n已生成删除表迁移: {$migrationName}"");"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","430","$this->line(""\n已生成修改表迁移: {$migrationName}"");"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","466","$columnCode .= ""->comment('主键ID')"";"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","608","$columnCode .= ""->comment('主键ID')"";"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\CompareAllTables.php","664","$columnCode .= ""->comment('主键ID')"";"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","25","{--db= : 数据库名称（默认使用配置中的默认数据库）}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","26","{--table= : 表名称（必填）}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","27","{--field= : 需要转换的字段名（必填）}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","28","{--dry-run : 测试模式，不实际更新数据}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","29","{--max-attempts=5 : 最大处理尝试次数}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","30","{--batch-size=500 : 批处理大小}"
"C:\Users\lyf07\OneDrive\Documents\Github Projects\Tuolijang\tuolijang-english\app\Console\Commands\ConvertToStandardJson.php","31","{--force : 强制重新处理所有记录（包括已处理的）}"
